respondent_id,age_group,occupation,visit_frequency,primary_payment,aware_endofday_discounts,purchased_endofday_food,discount_motivation,would_use_surplus_app,survey_channel,branch
63,25-34,Student,Less_than_monthly,Momo,No,No,60%_or_more,Probably_not,Online,Online
64,25-34,Employed_full_time,2-3_times_month,VietQR,No,No,40-59%,Yes_definitely,In_person,Hoan_Kiem
65,25-34,Self_employed,Weekly_or_more,Card,No,No,20-39%,Yes_definitely,In_person,Hoan_Kiem
66,25-34,Employed_full_time,2-3_times_month,Momo,No,No,40-59%,Yes_definitely,In_person,Cau_Giay
67,25-34,Student,Weekly_or_more,VietQR,No,No,60%_or_more,Yes_definitely,In_person,Cau_Giay
68,25-34,Employed_full_time,Once_a_month,Cash,No,No,20-39%,Probably_not,In_person,Hoan_Kiem
69,25-34,Other,Less_than_monthly,VietQR,No,No,Would_not_go,Probably_not,Online,Online
70,25-34,Employed_full_time,2-3_times_month,Momo,No,No,40-59%,Yes_definitely,In_person,Hoan_Kiem
71,25-34,Employed_part_time,Weekly_or_more,VietQR,No,No,40-59%,Yes_definitely,In_person,Cau_Giay
72,25-34,Student,2-3_times_month,Cash,No,No,40-59%,Yes_definitely,In_person,Hoan_Kiem
73,25-34,Self_employed,Once_a_month,Momo,No,No,60%_or_more,Probably_not,Online,Online
74,35-44,Employed_full_time,Once_a_month,VietQR,No,No,20-39%,Probably_yes,In_person,Hoan_Kiem
75,35-44,Employed_full_time,Less_than_monthly,Cash,No,No,Would_not_go,Probably_not,Online,Online
76,35-44,Employed_full_time,2-3_times_month,Momo,Yes,No,20-39%,Probably_yes,In_person,Hoan_Kiem
77,35-44,Student,Weekly_or_more,VietQR,No,No,40-59%,Probably_yes,In_person,Cau_Giay
78,35-44,Employed_full_time,Less_than_monthly,Cash,No,No,Would_not_go,No,Online,Online
79,35-44,Employed_full_time,2-3_times_month,VietQR,No,No,Under_20%,Probably_yes,Online,Online
80,35-44,Employed_full_time,Once_a_month,Card,No,No,Under_20%,Probably_not,In_person,Hoan_Kiem
81,35-44,Other,Less_than_monthly,Cash,No,No,Would_not_go,No,Online,Online
82,35-44,Employed_full_time,Weekly_or_more,VietQR,No,No,20-39%,Probably_yes,In_person,Hoan_Kiem
83,35-44,Student,2-3_times_month,Momo,No,No,40-59%,Probably_yes,In_person,Cau_Giay
84,45+,Student,Less_than_monthly,Cash,No,No,Would_not_go,No,Online,Online
85,45+,Student,Less_than_monthly,Cash,No,No,Under_20%,Probably_not,Online,Online
86,45+,Student,2-3_times_month,Momo,Yes,No,20-39%,Probably_not,In_person,Hoan_Kiem
87,45+,Employed_part_time,Once_a_month,VietQR,No,No,Under_20%,Probably_not,Online,Online
